,AccelerationX,AccelerationY,AccelerationZ,GyroscopeX,GyroscopeY,GyroscopeZ,Label
202,0.157714844,0.841369629,0.04019165,-1.087119102,1.110646248,0.973307848,Moving 
203,-0.10194397,0.746078491,-0.127166748,-0.550717711,1.003055096,0.797673702,Moving 
204,-0.142150879,0.658981323,-0.122543335,0.260064065,0.511445463,0.466816187,Moving 
205,-0.102111816,0.691329956,-0.107650757,0.725332677,0.275380433,-0.093976296,Moving 
206,-0.150405884,0.684204102,-0.049041748,1.1891011,0.324596465,-0.596008241,Moving 
207,-0.271499634,0.964508057,0.135025024,1.390817523,0.391020745,-1.301246643,Moving 
208,0.750396729,1.597686768,1.635009766,-0.342067331,2.352385521,-0.258236617,Moving 
209,0.900146484,0.976409912,0.707687378,0.186038047,0.732659578,0.648445904,Moving 
210,0.010467529,0.773529053,0.098861694,0.293577015,-0.59529376,0.725259423,Moving 
211,-0.203765869,1.161117554,-0.453079224,-0.068003818,-2.472370148,-0.030656179,Moving 
212,-0.409164429,1.410430908,1.284759521,0.063502274,3.443654776,-0.412048012,Moving 
213,0.312774658,1.029983521,-0.438812256,0.80003196,2.247301579,-0.035053857,Moving 
214,0.070785522,0.711135864,-0.32951355,0.238816842,0.033296436,0.05196413,Moving 
215,-0.039093018,0.878494263,-0.272125244,0.854031563,-1.861390591,0.069882676,Moving 
216,0.039428711,1.066421509,-0.101425171,0.491679996,-0.708703637,-0.229009479,Moving 
217,0.160522461,0.937225342,-0.171417236,0.815998137,1.274290562,-0.304813176,Moving 
218,0.300674438,1.04800415,-0.083847046,1.202400208,-0.044996504,0.031859927,Moving 
219,0.108230591,0.924560547,0.027923584,0.435232431,-1.438197732,0.239583835,Moving 
220,0.02822876,0.978683472,-0.014678955,0.203703865,-1.484552741,-0.044587974,Moving 
221,0.088012695,1.040588379,-0.013259888,0.231432691,-0.292531997,-0.360499322,Moving 
222,0.280151367,0.990600586,-0.091247559,0.165904284,0.475901037,-0.182314143,Moving 
223,0.245300293,0.967346191,-0.152496338,0.338893652,0.084538318,-0.077602915,Moving 
224,0.096633911,0.976852417,-0.114730835,0.446279228,-0.863812268,-0.050273824,Moving 
225,0.044784546,0.975067139,-0.070297241,0.311308354,-1.081088424,-0.115515679,Moving 
226,0.062545776,1.017410278,-0.041397095,0.221439973,-0.721831143,-0.320798248,Moving 
227,0.191101074,0.999725342,-0.089996338,0.016272979,-0.228739977,-0.354647577,Moving 
228,0.176086426,1.002380371,-0.15776062,0.096157961,-0.094480962,-0.353422791,Moving 
229,0.13218689,0.998703003,-0.174621582,0.132585481,-0.286895961,-0.40776512,Moving 
230,0.165740967,0.972610474,-0.159301758,0.231953874,-0.451474249,-0.452327251,Moving 
231,0.230209351,0.958068848,-0.040908813,0.252192289,-0.906309426,-0.438178957,Moving 
